drug,target,nearest_disease_node,distance_to_module,disease_community,community_top_genes
Betaferon,IFNAR1,FCGR3A,2,4,"FCGR3A, NCAM1, LILRA4"
Betaferon,IFNAR2,LYN,2,2,"LYN, PLCG2, KLRK1"
Tecfidera,KEAP1,FCGR3A,2,4,"FCGR3A, NCAM1, LILRA4"
Tecfidera,RELA,TNF,1,0,"FASLG, TNF, GZMB"
Ocrevus,MS4A1,FCGR3A,2,4,"FCGR3A, NCAM1, LILRA4"
