threshold,eligible_pc_genes,string_mapped_nodes,interacting_nodes,edges,components,LCC_nodes
FDR<0.05 (FDR-DEG PPI),33,31,5,10,27,5
FDR<0.10 (paper-motivated sensitivity),53,51,10,17,44,6
