,community
TNFRSF12A,3
ITGA2,4
KLRK1,1
KLRC2,1
SH2D1B,1
MATK,5
CD244,1
FCER1A,2
TNFSF9,3
FASLG,3
CADM1,2
ITGAM,4
GAB3,1
CCL4,0
CXCR2,0
PLCG2,1
FGR,1
CXCR1,0
KCNQ2,2
RGS9,0
LYN,1
GNLY,3
XCL1,0
LILRA4,2
CCL3L1,0
CX3CR1,0
CD151,4
NCAM1,2
TNFSF11,3
TNF,3
XCL2,0
GZMB,3
LAMB3,4
ADRA1A,0
GNAI1,0
FCGR3A,2
NTRK1,5
SKAP2,1
SPTBN5,2
