gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,biotype
ENSG00000279942,83.86284678913286,-3.385004081387019,0.4271988168817752,-7.923720636903821,2.305071860881649e-15,4.965355295525159e-11,RP1-153P14.7,TEC
ENSG00000227920,54.19841771880191,-3.0512288975246875,0.4042554122641226,-7.54777500797231,4.4275693287670196e-14,4.768713545548518e-10,RP1-153P14.5,lincRNA
ENSG00000210082,60131.69629319126,-1.006859443144149,0.1739505591109993,-5.78819319862987,7.114755292870441e-09,5.1086314587907385e-05,MT-RNR2,Mt_rRNA
ENSG00000186197,193.7223946932252,-1.0910725783224289,0.2084210568944843,-5.234944081848686,1.6503481969142145e-07,0.0005925842116878,EDARADD,protein_coding
ENSG00000000938,416.02880523465456,-1.5645659641727625,0.2988711152216051,-5.234918613706373,1.6505757718429144e-07,0.0005925842116878,FGR,protein_coding
ENSG00000187037,23.54811320990437,-3.534979570738431,0.680136241845782,-5.197458028622408,2.020321359872332e-07,0.0006217106059001,GPR141,protein_coding
ENSG00000275895,1406.4622067161183,-1.410508591941121,0.2745102674354601,-5.138272623164248,2.7727542570702537e-07,0.0007412910864277,U2AF1L5,protein_coding
ENSG00000204644,37.85032263304015,-8.734841845955277,1.7068786049851934,-5.117435897575767,3.0971727300729666e-07,0.0007412910864277,ZFP57,protein_coding
ENSG00000100453,64.71594392854098,-2.182057916974081,0.4387688293613542,-4.973137950911769,6.587774667873962e-07,0.0014190725412067,GZMB,protein_coding
ENSG00000171570,38.72405511661158,-2.431539298338824,0.4935780786408819,-4.926351885469302,8.377906429318078e-07,0.0016406225672176,RAB4B-EGLN2,protein_coding
ENSG00000204110,14.802719329760148,-2.8160556737978077,0.5954696830360886,-4.729133579798285,2.2548000077969997e-06,0.003238043131197,RP1-153P14.8,lincRNA
ENSG00000167851,598.881435018543,-1.020236452907216,0.2227301325478006,-4.580594647148878,4.63655726945398e-06,0.0052566357969109,CD300A,protein_coding
ENSG00000183734,54.624280514175794,-2.103405791678748,0.4914857111064414,-4.279688593476142,1.871549913924483e-05,0.0155057910368643,ASCL2,protein_coding
ENSG00000061337,174.64585584536437,-1.0554815284452357,0.2472534054179204,-4.26882504069542,1.9650532172362916e-05,0.0156774856861062,LZTS1,protein_coding
ENSG00000129116,54.874016718649216,-1.403293813795653,0.3356114375167151,-4.1813050954968185,2.898406399939809e-05,0.0208115240870344,PALLD,protein_coding
ENSG00000279166,35.375358834698375,-2.311457419665411,0.571595036812366,-4.04387244605166,5.257553001396284e-05,0.0315702028182825,RP11-107E5.3,TEC
ENSG00000125657,26.624595595869053,-1.9988229091111316,0.5131687747338308,-3.895059496065161,9.817462895542368e-05,0.0491809228448553,TNFSF9,protein_coding
