lfc_F,lfc_M,symbol
4.598677277162918,-5.484350405217277,F8A3
7.078513396578939,-1.8675185254583546,KRT1
3.3099071673571574,-0.07127985398020632,PWP2
4.044425002461442,0.9137325460113419,TVP23C-CDRT4
-3.108236662192183,-1.1150907732029975,TRGC2
2.3104263010016104,0.6164441273399871,C21orf33
6.692843117914778,1.5889124675802297,CCL3L3
3.0099011508613307,-0.2693719616847345,CPAMD8
4.652947070238703,1.3754216525819727,KIF26A
6.207670761439473,1.540525317217754,SMPDL3A
2.9703014301888,0.4185625567771943,NLRP2
3.8552539014033655,-0.19727569256348151,PVR
-2.1647206374311825,-0.6503144497133475,MT-RNR1
2.045448867481379,1.757905511485292,USP32P1
-4.372038022854914,-1.0595462826100643,AC010970.2
3.6395912503097714,-0.7418848583333717,LILRB3
5.541749714173721,0.7698332395761642,FCGR1B
3.712025629043997,-0.3475235753508367,CRISPLD2
4.586988742046465,0.35837736003235776,NECTIN2
3.325320773744743,0.18413894467536232,ALOX5
4.315766171500659,0.10125798909398803,AIFM3
3.5310076294158868,-0.5776375116020948,IQSEC2
5.113371246264717,0.4252498845395377,LPAR1
4.115770660904631,2.163229517120072,NEBL
4.0148704753157975,0.1798210937407409,MMP17
3.667199743861266,-0.054828482682562366,DSC2
3.6629988356687266,-1.2600806637945658,ARRDC4
4.57516357753892,-1.5997896545233816,SLC35F3
4.127331722078868,0.2969175121202764,S100Z
4.369147268805446,0.28716954319877375,RBP7
4.282686916399444,0.4684288127213017,ASGR1
4.039084115730331,-0.2504529939583426,MFSD7
5.579688363760158,-1.611521068158823,BPI
3.759000585888751,-0.013604156302139622,RUSC2
3.2141607526447915,0.4744474133581906,SULT1A4
3.198481900015438,0.08762900655812819,FBP1
4.452255038991174,-0.9581906496816426,B3GNT5
3.451909857530983,-0.29586551749594253,SLC2A6
3.2079257118928157,0.04761195617485752,RNF217
3.564886741931849,-1.9216071844252667,TMCC3
4.034556622007044,-0.3674224003902894,DGAT2
1.6102326265651083,2.1291338686740255,HLA-H
-3.1921393802592792,3.3761474188556453,PXDN
1.746098509469724,1.7712283470373233,CCDC144A
4.4926232986011145,-0.5865438103853452,SIGLEC15
3.3230106420644403,-0.10190338342337182,INSR
4.207973313250949,-0.8146317061101073,LDHD
5.246816177370079,0.1491884446736021,OXER1
4.6095884369819755,-0.9692407901303022,SLC6A12
4.432417189172881,0.37827832084418345,PTGS2
2.5880015588947534,-0.007474541839133313,ZFHX3
3.4504468165043174,0.5275107301749138,CLIC4
3.210252081495147,0.3169506725317139,RNF144B
4.271952391980417,0.9222316864625676,FAM110B
3.354645082135487,0.24096513397313624,ANKRD50
3.453511030227865,-0.9410451773206641,RNASE6
3.6277350473980556,-0.7378559938996951,PIK3R6
