Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias
SRR10089413	38.895256739537245	34.748113	ISR	100.0	4.618502416254865e-05
SRR10089428	45.430673621848356	37.071158	ISR	100.0	3.502304894508057e-05
SRR10089431	45.03524593414561	43.788764	ISR	100.0	3.2425805993840356e-05
SRR10089494	39.89008906093232	36.035565999999996	ISR	100.0	4.487321787147671e-05
SRR10089503	54.52901221025156	41.174049	ISR	100.0	2.989073691237904e-05
SRR10089583	39.8895811862932	28.986908999999997	ISR	100.0	4.1462393045872484e-05
SRR10089589	36.92486327752716	34.677807	ISR	100.0	4.9501291381463824e-05
SRR10089616	39.172169228158666	28.560778	ISR	100.0	5.007822311320025e-05
SRR10089670	45.736610941297954	40.713262	ISR	100.0	4.203374741623261e-05
