Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Long-Term Synaptic Depression (GO:0060292),0.00017650359903522943,0.07819109437260664,0,0,147.03977272727272,1270.7426083699054,PRRT1;SLC24A2
GO_Biological_Process_2023,Negative Regulation Of Synaptic Transmission (GO:0050805),0.0007661747057938383,0.15305935525504677,0,0,58.80227272727273,421.85340469376473,PRRT1;SLC24A2
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),0.0010365193358129578,0.15305935525504677,0,0,9.662040510127532,66.3964502982366,KCNQ2;MYCBPAP;NPTX1;SLC18A2
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),0.0016005167075530385,0.17725722536149902,0,0,8.55249169435216,55.05605599989349,KIF26A;PTPRO;EFHC2;EPHB3
GO_Biological_Process_2023,Regulation Of Protein Localization To Cell Cortex (GO:1904776),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,GNAI1
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta1 Production (GO:0032908),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,LAPTM4B
GO_Biological_Process_2023,Neurotransmitter Reuptake (GO:0098810),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,SLC18A2
GO_Biological_Process_2023,Regulation Of Postsynaptic Neurotransmitter Receptor Activity (GO:0098962),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,NPTX1
GO_Biological_Process_2023,Cilium Movement Involved In Cell Motility (GO:0060294),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,RSPH9
GO_Biological_Process_2023,Copper Ion Import (GO:0015677),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,ATP7B
GO_Biological_Process_2023,Positive Regulation Of Behavior (GO:0048520),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,NPAS2
GO_Biological_Process_2023,"Regulation Of Wnt Signaling Pathway, Planar Cell Polarity Pathway (GO:2000095)",0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,DACT1
GO_Biological_Process_2023,Serotonin Uptake (GO:0051610),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,SLC18A2
GO_Biological_Process_2023,Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.020722073081292522,0.17812219445760552,0,0,5.374712643678161,20.835373549632486,GPRC5B;PTPRO;DACT1
GO_Biological_Process_2023,Purine-Containing Compound Metabolic Process (GO:0072521),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,FHIT
GO_Biological_Process_2023,Monoamine Transport (GO:0015844),0.020613356808595378,0.17812219445760552,0,0,58.15280898876404,225.73850580419173,SLC18A2
GO_Biological_Process_2023,Regulation Of Lipase Activity (GO:0060191),0.02400783638011118,0.17812219445760552,0,0,48.45880149812734,180.72104216306136,PCSK5
GO_Biological_Process_2023,Collagen-Activated Signaling Pathway (GO:0038065),0.02400783638011118,0.17812219445760552,0,0,48.45880149812734,180.72104216306136,ITGA2
GO_Biological_Process_2023,Dopamine Transport (GO:0015872),0.02400783638011118,0.17812219445760552,0,0,48.45880149812734,180.72104216306136,SLC18A2
GO_Biological_Process_2023,Serotonin Transport (GO:0006837),0.02400783638011118,0.17812219445760552,0,0,48.45880149812734,180.72104216306136,SLC18A2
GO_Biological_Process_2023,Endomembrane System Organization (GO:0010256),0.025133840307841892,0.17812219445760552,0,0,4.9796590468810535,18.342773890279183,LAPTM4B;SPTBN5;FAM174B
GO_Biological_Process_2023,Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),0.025943245972952823,0.17812219445760552,0,0,8.380844155844155,30.605535227874075,GPRC5B;DACT1
GO_Biological_Process_2023,Eye Photoreceptor Cell Differentiation (GO:0001754),0.027390682283332534,0.17812219445760552,0,0,41.534510433386835,149.42257711407223,SDK2
GO_Biological_Process_2023,Positive Regulation Of Macrophage Cytokine Production (GO:0060907),0.027390682283332534,0.17812219445760552,0,0,41.534510433386835,149.42257711407223,GPRC5B
GO_Biological_Process_2023,Unsaturated Fatty Acid Biosynthetic Process (GO:0006636),0.027390682283332534,0.17812219445760552,0,0,41.534510433386835,149.42257711407223,SCD
GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903427),0.027390682283332534,0.17812219445760552,0,0,41.534510433386835,149.42257711407223,SLC18A2
