Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,G Alpha (Z) Signaling Events R-HSA-418597,0.3438873133815797,0.4778223722775634,0,0,2.4280442804428044,2.5917946282129583,RGSL1
KEGG_2021_Human,Mineral absorption,0.38411344986355717,0.47849561183003125,0,0,2.1038130381303812,2.012964769073616,ATP1B4
GO_Biological_Process_2023,Nucleotide-Excision Repair (GO:0006289),0.4339512615804742,0.47915451799510694,0,0,1.7856993664276266,1.490742994488664,FSCN1
GO_Biological_Process_2023,Positive Regulation Of Proteolysis (GO:0045862),0.4339512615804742,0.47915451799510694,0,0,1.7856993664276266,1.490742994488664,TNF
GO_Biological_Process_2023,Post-Transcriptional Regulation Of Gene Expression (GO:0010608),0.4339512615804742,0.47915451799510694,0,0,1.7856993664276266,1.490742994488664,NANOS1
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,0.34624182546200527,0.47983119119144035,0,0,1.4512366284803884,1.53920744448929,DHRS9;CCND1;MMP9
KEGG_2021_Human,Taste transduction,0.39057470020921337,0.48104680590739274,0,0,2.0579977538905823,1.934797846832186,TAS2R13
KEGG_2021_Human,Endocrine and other factor-regulated calcium reabsorption,0.39057470020921337,0.48104680590739274,0,0,2.0579977538905823,1.934797846832186,ATP1B4
Reactome_2022,Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,0.35076898349267666,0.4823073523024304,0,0,2.3672509225092253,2.4799970211597,FLT3
Reactome_2022,Axon Guidance R-HSA-422475,0.3496824816145505,0.4823073523024304,0,0,1.25718269182891,1.3209592324033874,LYN;SHTN1;EFNA3;PLXNA2;NCAM1;MMP9
Reactome_2022,Aquaporin-mediated Transport R-HSA-445717,0.35076898349267666,0.4823073523024304,0,0,2.3672509225092253,2.4799970211597,NLRP3
GO_Biological_Process_2023,Positive Regulation Of Protein Binding (GO:0032092),0.43989149643190656,0.4847362365108132,0,0,1.7525625256252562,1.439251983319581,MMP9
GO_Biological_Process_2023,Cholesterol Homeostasis (GO:0042632),0.43989149643190656,0.4847362365108132,0,0,1.7525625256252562,1.439251983319581,HDAC9
GO_Biological_Process_2023,Regulation Of BMP Signaling Pathway (GO:0030510),0.43989149643190656,0.4847362365108132,0,0,1.7525625256252562,1.439251983319581,CRIM1
GO_Biological_Process_2023,Sterol Homeostasis (GO:0055092),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,HDAC9
GO_Biological_Process_2023,Sensory Perception Of Smell (GO:0007608),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,OR10Z1
GO_Biological_Process_2023,Regulation Of Actin Filament Polymerization (GO:0030833),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,CDC42EP4
GO_Biological_Process_2023,Fat Cell Differentiation (GO:0045444),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,CEBPA
GO_Biological_Process_2023,Positive Regulation Of T Cell Proliferation (GO:0042102),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,TNFSF9
GO_Biological_Process_2023,Response To Metal Ion (GO:0010038),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,TNNT2
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,SULT2B1
GO_Biological_Process_2023,Negative Regulation Of Kinase Activity (GO:0033673),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,SFN
GO_Biological_Process_2023,Negative Regulation Of Autophagy (GO:0010507),0.44576961978588303,0.48826632353880384,0,0,1.7206306608520632,1.3901887180649413,LZTS1
Reactome_2022,Insulin Receptor Signaling Cascade R-HSA-74751,0.3575787373116745,0.4891232468926532,0,0,2.3094230942309424,2.3750100100512492,FLT3
Reactome_2022,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",0.3575787373116745,0.4891232468926532,0,0,2.3094230942309424,2.3750100100512492,LYN
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),0.45158627880808533,0.49365020364716183,0,0,1.6898392198207697,1.343403305395011,MMP9
GO_Biological_Process_2023,Regulation Of Insulin Secretion (GO:0050796),0.45158627880808533,0.49365020364716183,0,0,1.6898392198207697,1.343403305395011,TNF
GO_Biological_Process_2023,Regulation Of Cell-Matrix Adhesion (GO:0001952),0.45158627880808533,0.49365020364716183,0,0,1.6898392198207697,1.343403305395011,JAG1
KEGG_2021_Human,N-Glycan biosynthesis,0.40329528923703584,0.49392344412176303,0,0,1.9720940959409594,1.7908315474428287,TUSC3
Reactome_2022,Cell-cell Junction Organization R-HSA-421270,0.3643173236658845,0.4944975498601209,0,0,2.254348972061149,2.276283838962574,CADM1
Reactome_2022,Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995,0.3643173236658845,0.4944975498601209,0,0,2.254348972061149,2.276283838962574,SPON2
Reactome_2022,Neurexins And Neuroligins R-HSA-6794361,0.3643173236658845,0.4944975498601209,0,0,2.254348972061149,2.276283838962574,NLGN4Y
KEGG_2021_Human,Cortisol synthesis and secretion,0.4095560273700828,0.49544401621393325,0,0,1.9317719707809322,1.7244572281732549,CYP21A2
KEGG_2021_Human,Cushing syndrome,0.41039023295283,0.49544401621393325,0,0,1.4348484848484848,1.277943188925836,CCND1;CYP21A2
KEGG_2021_Human,Prion disease,0.4113548941959721,0.49544401621393325,0,0,1.2976523908947395,1.1527032531183183,NCAM1;HSPA2;TNF
KEGG_2021_Human,Fanconi anemia pathway,0.4157513154594448,0.49798783939647784,0,0,1.8930627306273062,1.661480574702002,SLX1B
GO_Biological_Process_2023,Telomere Organization (GO:0032200),0.4573421137575787,0.4992778025938218,0,0,1.6601281802291707,1.2987573886280166,ZNF365
GO_Biological_Process_2023,Positive Regulation Of T Cell Differentiation (GO:0045582),0.4573421137575787,0.4992778025938218,0,0,1.6601281802291707,1.2987573886280166,TNFSF9
Reactome_2022,Ion Homeostasis R-HSA-5578775,0.3709854835797009,0.49969473298490324,0,0,2.2018364369690206,2.1833241557474903,NANOS1
Reactome_2022,Clathrin-mediated Endocytosis R-HSA-8856828,0.3697294073228458,0.49969473298490324,0,0,1.5659626568717477,1.5581075884574966,NLRP3;ADRB2
Reactome_2022,TNF Signaling R-HSA-75893,0.3709854835797009,0.49969473298490324,0,0,2.2018364369690206,2.1833241557474903,TNF
GO_Biological_Process_2023,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.458196108595655,0.4998779591119928,0,0,1.2033740785079705,0.9391829287377002,SHTN1;NME8;FSCN1
KEGG_2021_Human,Glycolysis / Gluconeogenesis,0.42188183527647843,0.5025696179796301,0,0,1.8558714998914696,1.6016728090385137,LDHC
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),0.4630377584126145,0.504490077633903,0,0,1.6314416592441787,1.2561230835593333,EDN3
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle (GO:0045787),0.4630377584126145,0.504490077633903,0,0,1.6314416592441787,1.2561230835593333,CCND1
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,0.37758395037043435,0.5060008268923587,0,0,2.1517108352901713,2.0956853415084398,MATK
Reactome_2022,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,0.37758395037043435,0.5060008268923587,0,0,2.1517108352901713,2.0956853415084398,CCND1
KEGG_2021_Human,RIG-I-like receptor signaling pathway,0.42794826144400033,0.5070256575803916,0,0,1.820110701107011,1.5448243727289797,TNF
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901992),0.4686738398524769,0.5096168887343611,0,0,1.603727562699356,1.2153820304513907,CCND1
GO_Biological_Process_2023,Positive Regulation Of Protein Transport (GO:0051222),0.4686738398524769,0.5096168887343611,0,0,1.603727562699356,1.2153820304513907,TNF
GO_Biological_Process_2023,Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),0.4686738398524769,0.5096168887343611,0,0,1.603727562699356,1.2153820304513907,TNF
KEGG_2021_Human,Spliceosome,0.4355911416351468,0.5105315530992581,0,0,1.362216893152145,1.1320720165949802,U2AF1L5;HSPA2
KEGG_2021_Human,Bile secretion,0.4339512615804742,0.5105315530992581,0,0,1.7856993664276266,1.490742994488664,ATP1B4
Reactome_2022,C-type Lectin Receptors (CLRs) R-HSA-5621481,0.38465278306338596,0.5115785124873243,0,0,1.5156148148148147,1.448039936704383,LYN;PLCG2
Reactome_2022,NOTCH1 Intracellular Domain Regulates Transcription R-HSA-2122947,0.38411344986355717,0.5115785124873243,0,0,2.1038130381303812,2.012964769073616,HDAC9
Reactome_2022,NCAM Signaling For Neurite Out-Growth R-HSA-375165,0.38411344986355717,0.5115785124873243,0,0,2.1038130381303812,2.012964769073616,NCAM1
KEGG_2021_Human,Tight junction,0.4391442027388464,0.5119435090752327,0,0,1.3524338624338625,1.1129549359139495,CCND1;PPP2R2B
GO_Biological_Process_2023,Regulation Of Double-Strand Break Repair Via Homologous Recombination (GO:0010569),0.474250978712596,0.5146594174536296,0,0,1.5769372693726937,1.176424544177126,ZNF365
GO_Biological_Process_2023,Negative Regulation Of Catabolic Process (GO:0009895),0.474250978712596,0.5146594174536296,0,0,1.5769372693726937,1.176424544177126,TNF
GO_Biological_Process_2023,Negative Regulation Of Protein Binding (GO:0032091),0.474250978712596,0.5146594174536296,0,0,1.5769372693726937,1.176424544177126,ADRB2
KEGG_2021_Human,PPAR signaling pathway,0.44576961978588303,0.5159407453837502,0,0,1.7206306608520632,1.3901887180649413,FADS2
KEGG_2021_Human,Salmonella infection,0.44730642604371,0.5159407453837502,0,0,1.224314190488399,0.9849747263088178,NLRP3;TLR6;TNF
GO_Biological_Process_2023,Protein N-linked Glycosylation (GO:0006487),0.47976978916443197,0.5203047944535721,0,0,1.5510253463190369,1.1391488533268377,TUSC3
Reactome_2022,Nervous System Development R-HSA-9675108,0.3925071824324886,0.5207130460410904,0,0,1.1953465596765023,1.117888631832477,LYN;SHTN1;EFNA3;PLXNA2;NCAM1;MMP9
KEGG_2021_Human,Endocytosis,0.458196108595655,0.5229672862505382,0,0,1.2033740785079705,0.9391829287377002,CXCR1;CXCR2;HSPA2
KEGG_2021_Human,Adipocytokine signaling pathway,0.4573421137575787,0.5229672862505382,0,0,1.6601281802291707,1.2987573886280166,TNF
GO_Biological_Process_2023,Telomere Maintenance (GO:0000723),0.4852308790084842,0.5244962725071971,0,0,1.525949291750982,1.103460416519562,ZNF365
GO_Biological_Process_2023,Cellular Response To Reactive Oxygen Species (GO:0034614),0.4852308790084842,0.5244962725071971,0,0,1.525949291750982,1.103460416519562,MMP9
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),0.4852308790084842,0.5244962725071971,0,0,1.525949291750982,1.103460416519562,EDN3
GO_Biological_Process_2023,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138),0.4852308790084842,0.5244962725071971,0,0,1.525949291750982,1.103460416519562,TNF
GO_Biological_Process_2023,Protein Autoubiquitination (GO:0051865),0.4852308790084842,0.5244962725071971,0,0,1.525949291750982,1.103460416519562,SH3RF2
Reactome_2022,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,0.3969684121915982,0.5253115830505359,0,0,2.014132056214179,1.8608537219523886,MEF2C
GO_Biological_Process_2023,Actomyosin Structure Organization (GO:0031032),0.4906348497433265,0.5296406426598459,0,0,1.5016693024073098,1.0692713074226945,TNNT2
GO_Biological_Process_2023,Regulation Of Cellular Biosynthetic Process (GO:0031326),0.4906348497433265,0.5296406426598459,0,0,1.5016693024073098,1.0692713074226945,CX3CR1
Reactome_2022,Pre-NOTCH Expression And Processing R-HSA-1912422,0.40329528923703584,0.5323497817928873,0,0,1.9720940959409594,1.7908315474428287,CCND1
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),0.49598229659997467,0.5347105730405238,0,0,1.4781480627306274,1.0364996606686645,ID1
GO_Biological_Process_2023,Glucose Homeostasis (GO:0042593),0.49598229659997467,0.5347105730405238,0,0,1.4781480627306274,1.0364996606686645,CEBPA
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),0.4975814587439694,0.5360828437484209,0,0,1.2051899032790752,0.8412177312688112,MEF2C;TNF
Reactome_2022,Arachidonic Acid Metabolism R-HSA-2142753,0.4095560273700828,0.5365895346188677,0,0,1.9317719707809322,1.7244572281732549,CYP4F22
Reactome_2022,Transcriptional Regulation By MECP2 R-HSA-8986944,0.4095560273700828,0.5365895346188677,0,0,1.9317719707809322,1.7244572281732549,MEF2C
Reactome_2022,Pyruvate Metabolism And Citric Acid (TCA) Cycle R-HSA-71406,0.4095560273700828,0.5365895346188677,0,0,1.9317719707809322,1.7244572281732549,LDHC
Reactome_2022,Transport Of Small Molecules R-HSA-382551,0.41258796314271684,0.5380311141239874,0,0,1.1501782152316797,1.0182595047395866,SLC22A15;SLC7A8;TUSC3;SLCO4C1;NLRP3;STOM;MCOLN2
Reactome_2022,RHOD GTPase Cycle R-HSA-9013405,0.4157513154594448,0.5380311141239874,0,0,1.8930627306273062,1.661480574702002,EFHD2
Reactome_2022,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,0.4157513154594448,0.5380311141239874,0,0,1.8930627306273062,1.661480574702002,ATP1B4
Reactome_2022,RHOJ GTPase Cycle R-HSA-9013409,0.4157513154594448,0.5380311141239874,0,0,1.8930627306273062,1.661480574702002,STOM
Reactome_2022,Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,0.4157513154594448,0.5380311141239874,0,0,1.8930627306273062,1.661480574702002,CCND1
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),0.500897444470761,0.5386480494534891,0,0,1.1975152367557431,0.8279068298472674,EFNA3;FASLG
GO_Biological_Process_2023,Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),0.501273808651482,0.5386480494534891,0,0,1.455350553505535,1.0050691715007336,SPRED2
GO_Biological_Process_2023,Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),0.501273808651482,0.5386480494534891,0,0,1.455350553505535,1.0050691715007336,PLCG2
GO_Biological_Process_2023,Purine Ribonucleotide Metabolic Process (GO:0009150),0.501273808651482,0.5386480494534891,0,0,1.455350553505535,1.0050691715007336,SULT2B1
Reactome_2022,Death Receptor Signaling R-HSA-73887,0.4176477986237623,0.5391639062918007,0,0,1.413322277501382,1.2339954082705982,FASLG;TNF
Reactome_2022,Meiosis R-HSA-1500620,0.42188183527647843,0.541979584004819,0,0,1.8558714998914696,1.6016728090385137,HSPA2
Reactome_2022,"Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643",0.42188183527647843,0.541979584004819,0,0,1.8558714998914696,1.6016728090385137,NLRP3
GO_Biological_Process_2023,Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120032),0.5065099688178301,0.5432087981512368,0,0,1.4332438778933243,0.9749086437252793,FSCN1
GO_Biological_Process_2023,Negative Regulation Of Phosphorylation (GO:0042326),0.5065099688178301,0.5432087981512368,0,0,1.4332438778933243,0.9749086437252793,LYN
GO_Biological_Process_2023,Wnt Signaling Pathway (GO:0016055),0.5065099688178301,0.5432087981512368,0,0,1.4332438778933243,0.9749086437252793,PLCG2
KEGG_2021_Human,Gastric acid secretion,0.47976978916443197,0.5447386147804488,0,0,1.5510253463190369,1.1391488533268377,ATP1B4
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),0.5086248851188727,0.5451211260602139,0,0,1.0443961668948276,0.7060582829112804,FGR;LYN;NTRK1;NUAK1;LATS2;MMP15;UST
GO_Biological_Process_2023,Response To Insulin (GO:0032868),0.5116913540701497,0.5469804129715392,0,0,1.4117971030456573,0.9459515798428739,HDAC9
GO_Biological_Process_2023,Organic Anion Transport (GO:0015711),0.5116913540701497,0.5469804129715392,0,0,1.4117971030456573,0.9459515798428739,SLCO4C1
GO_Biological_Process_2023,Regulation Of TOR Signaling (GO:0032006),0.5116913540701497,0.5469804129715392,0,0,1.4117971030456573,0.9459515798428739,NUAK1
GO_Biological_Process_2023,Calcium Ion Transmembrane Transport (GO:0070588),0.5116913540701497,0.5469804129715392,0,0,1.4117971030456573,0.9459515798428739,MCOLN2
Reactome_2022,Vif-mediated Degradation Of APOBEC3G R-HSA-180585,0.42794826144400033,0.5471106102722328,0,0,1.820110701107011,1.5448243727289797,APOBEC3G
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,0.42794826144400033,0.5471106102722328,0,0,1.820110701107011,1.5448243727289797,GZMB
GO_Biological_Process_2023,Positive Regulation Of Catabolic Process (GO:0009896),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,TNF
GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,NTRK1
GO_Biological_Process_2023,Negative Regulation Of Protein Modification Process (GO:0031400),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,LYN
GO_Biological_Process_2023,Axon Development (GO:0061564),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,SHTN1
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,FSCN1
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,TAS2R13
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),0.5168185351589972,0.549956511182793,0,0,1.39098111569351,0.9181358106776918,SPRED2
GO_Biological_Process_2023,DNA Damage Response (GO:0006974),0.5179315076779915,0.5507841211099934,0,0,1.068682013660511,0.7030990095422255,LYN;CCND1;FSCN1;SFN
Reactome_2022,Ion Channel Transport R-HSA-983712,0.43202601628043036,0.5509897019228677,0,0,1.3721417069243156,1.151596642696159,STOM;MCOLN2
Reactome_2022,Integrin Cell Surface Interactions R-HSA-216083,0.4339512615804742,0.5521114846132298,0,0,1.7856993664276266,1.490742994488664,ITGAM
GO_Biological_Process_2023,Sphingolipid Biosynthetic Process (GO:0030148),0.5218920771717747,0.5539203377217221,0,0,1.3707684902935986,0.891403156809012,CYP4F22
GO_Biological_Process_2023,Glycoprotein Biosynthetic Process (GO:0009101),0.5218920771717747,0.5539203377217221,0,0,1.3707684902935986,0.891403156809012,CHST13
GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),0.5218920771717747,0.5539203377217221,0,0,1.3707684902935986,0.891403156809012,MMP9
