Gene_set,Term,P-value,Adjusted P-value,Old P-value,Old adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Morphogenesis (GO:0022604),0.008898622318757906,0.03559448927503162,0,0,132.33163265306123,624.8512854675104,ZNF135
GO_Biological_Process_2023,Cytoskeleton Organization (GO:0007010),0.029193160085927983,0.04371913303565134,0,0,38.902255639097746,137.47360173078826,ZNF135
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),0.03278934977673851,0.04371913303565134,0,0,34.52336448598131,117.98882905053719,ZNF135
GO_Biological_Process_2023,Organelle Organization (GO:0006996),0.10789752054898746,0.10789752054898746,0,0,9.964188400155702,22.18599670625979,ZNF135
KEGG_2021_Human,Herpes simplex virus 1 infection,0.13431038597120784,0.13431038597120784,0,0,7.8685590867016355,15.796933734692207,ZNF135
Reactome_2022,Generic Transcription Pathway R-HSA-212436,0.28557584889140064,0.3396973191805322,0,0,3.3302568218298556,4.1736364186214185,ZNF135
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,0.3126591934548528,0.3396973191805322,0,0,2.9794372294372296,3.4640174305479996,ZNF135
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,0.3396973191805322,0.3396973191805322,0,0,2.6843423344947737,2.8982852119735734,ZNF135
