Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
SRR10089413_1	(1, 79.12671276571533)	(2, 16.716476137776677)	(3, 3.3149429102999624)	(4, 0.6492319724389637)	(5, 0.13641664687698063)	(6, 0.03119605490597619)	(7, 0.009333528586460084)	(8, 0.004161006586574569)	(9, 0.0021724592399519163)	(10, 0.0017356684932949172)	(11, 0.0012758887599717602)	(12, 0.0009655374399786295)	(13, 0.0006896695999847354)	(14, 0.0006781751066516564)	(15, 0.00048276871998931476)	(16, 0.00042529625332392014)	(17, 0.00020690087999542057)	(18, 0.00025287885332773627)	(19, 0.00025287885332773627)	(20, 0.0002643733466608152)	(21, 0.00020690087999542057)	(22, 0.00012643942666386814)	(23, 0.00013793391999694705)	(24, 0.0001609229066631049)	(25, 0.00011494493333078922)	(26, 9.195594666463138e-05)	(27, 8.046145333155245e-05)	(28, 8.046145333155245e-05)	(29, 6.896695999847353e-05)	(30, 4.597797333231569e-05)	(31, 0.001011515413310945)
SRR10089428_1	(1, 78.97083519612013)	(2, 16.813831193473376)	(3, 3.352258897712585)	(4, 0.6661057624807298)	(5, 0.13808216675399482)	(6, 0.03243783243971999)	(7, 0.00971736790758853)	(8, 0.004625653548336507)	(9, 0.0027497587844015504)	(10, 0.001619561317931422)	(11, 0.0013981824327465513)	(12, 0.0009088185812852582)	(13, 0.0008039548988292668)	(14, 0.000466060810915517)	(15, 0.0005825760136443963)	(16, 0.00037284864873241366)	(17, 0.0002796364865493102)	(18, 0.00024468192573064645)	(19, 0.00020972736491198265)	(20, 0.0002679849662764223)	(21, 0.00018642432436620683)	(22, 0.00018642432436620683)	(23, 0.00018642432436620683)	(24, 0.00011651520272887925)	(25, 0.00015146976354754303)	(26, 0.00010486368245599132)	(27, 0.00011651520272887925)	(28, 6.990912163732755e-05)	(29, 5.8257601364439624e-05)	(30, 4.660608109155171e-05)	(31, 0.0009787277029225858)
SRR10089431_1	(1, 79.35191393087713)	(2, 16.910179465227237)	(3, 3.0831673967366595)	(4, 0.5226059611198224)	(5, 0.09435120804649147)	(6, 0.019454195539488683)	(7, 0.006091055039626305)	(8, 0.003116608054386888)	(9, 0.0016512554954821758)	(10, 0.001487223492619708)	(11, 0.0011482240200372746)	(12, 0.0007545472131673519)	(13, 0.0006451925445923733)	(14, 0.00044835414115741197)	(15, 0.00033899947258243346)	(16, 0.0003171285388674378)	(17, 0.0002624512045799485)	(18, 0.00022964480400745495)	(19, 0.00022964480400745495)	(20, 0.0001859029365774635)	(21, 0.00013122560228997425)	(22, 0.00016403200286246782)	(23, 0.00010935466857497854)	(24, 4.3741867429991416e-05)	(25, 3.280640057249356e-05)	(26, 6.561280114498712e-05)	(27, 7.654826800248498e-05)	(28, 0.0001421610691474721)	(29, 9.841920171748068e-05)	(30, 0.0)	(31, 0.0005577088097323905)
SRR10089494_1	(1, 77.04123642030183)	(2, 18.250753429729645)	(3, 3.7803032028562167)	(4, 0.7355877302060814)	(5, 0.14186672758144242)	(6, 0.030644445537448006)	(7, 0.007900435151126633)	(8, 0.0033890446052186663)	(9, 0.0016505087363077923)	(10, 0.001210373073292381)	(11, 0.000781240801852355)	(12, 0.0006932136692492728)	(13, 0.0004731458377415671)	(14, 0.0003851187051384848)	(15, 0.0003851187051384848)	(16, 0.0002970915725354026)	(17, 0.0001870576567815498)	(18, 0.0002970915725354026)	(19, 0.0001760542652061645)	(20, 0.0001650508736307792)	(21, 0.00013204069890462337)	(22, 7.702374102769697e-05)	(23, 9.903052417846754e-05)	(24, 5.50169578769264e-05)	(25, 7.702374102769697e-05)	(26, 0.00013204069890462337)	(27, 8.802713260308224e-05)	(28, 7.702374102769697e-05)	(29, 3.3010174726155843e-05)	(30, 5.50169578769264e-05)	(31, 0.0007922441934277403)
SRR10089583_1	(1, 78.23731239731218)	(2, 17.513951751163663)	(3, 3.446480912595625)	(4, 0.6395676317895259)	(5, 0.12076863379851896)	(6, 0.024370462556058837)	(7, 0.0068838244410494645)	(8, 0.0029062299965790226)	(9, 0.001625518472662843)	(10, 0.0011698807189618947)	(11, 0.0008373883040990404)	(12, 0.0006649848297257085)	(13, 0.0005172104231199956)	(14, 0.00034480694874666366)	(15, 0.000295548813211426)	(16, 0.000295548813211426)	(17, 0.00016008894048952243)	(18, 0.0002339761437923789)	(19, 0.00016008894048952243)	(20, 0.00011083080495428477)	(21, 7.38872033028565e-05)	(22, 0.0002093470760247601)	(23, 0.00012314533883809418)	(24, 4.925813553523767e-05)	(25, 7.38872033028565e-05)	(26, 7.38872033028565e-05)	(27, 6.157266941904709e-05)	(28, 0.0)	(29, 6.157266941904709e-05)	(30, 2.4629067767618835e-05)	(31, 0.000591097626422852)
SRR10089589_1	(1, 74.01777402368246)	(2, 19.012540322189924)	(3, 5.071006522688078)	(4, 1.3599588394015831)	(5, 0.3733783383606331)	(6, 0.10618659203432759)	(7, 0.03334726938803388)	(8, 0.011261498131394859)	(9, 0.004809475067657615)	(10, 0.002162491246637208)	(11, 0.00129985812639395)	(12, 0.0009689851487663993)	(13, 0.000649929063196975)	(14, 0.0007444641996619897)	(15, 0.0004017743299763118)	(16, 0.0004135912220344387)	(17, 0.0003545067617438046)	(18, 0.00028360540939504367)	(19, 0.0001890702729300291)	(20, 0.00027178851733691687)	(21, 0.0001890702729300291)	(22, 0.00021270405704628274)	(23, 0.00015361959675564866)	(24, 0.0001181689205812682)	(25, 0.000129985812639395)	(26, 7.090135234876092e-05)	(27, 0.00010635202852314137)	(28, 9.453513646501456e-05)	(29, 4.726756823250728e-05)	(30, 4.726756823250728e-05)	(31, 0.0008271824440688774)
SRR10089616_1	(1, 73.92928289313112)	(2, 19.105923732975494)	(3, 5.0814997475288965)	(4, 1.357637423826355)	(5, 0.3684175941233027)	(6, 0.10276710306453478)	(7, 0.031670054357868654)	(8, 0.010289062121725657)	(9, 0.004076099039819288)	(10, 0.0018774759213713084)	(11, 0.001235181527217966)	(12, 0.0007781643621473186)	(13, 0.000617590763608983)	(14, 0.0003952580887097492)	(15, 0.0003829062734375695)	(16, 0.00035820264289321014)	(17, 0.00023468449017141355)	(18, 0.00027173993598795257)	(19, 0.00020998085962705424)	(20, 0.00024703630544359317)	(21, 8.646270690525762e-05)	(22, 0.0001976290443548746)	(23, 0.00013586996799397629)	(24, 4.940726108871865e-05)	(25, 7.411089163307797e-05)	(26, 9.88145221774373e-05)	(27, 7.411089163307797e-05)	(28, 4.940726108871865e-05)	(29, 9.88145221774373e-05)	(30, 4.940726108871865e-05)	(31, 0.0009140343301412949)
SRR10089670_1	(1, 78.47271420224901)	(2, 16.892222039405844)	(3, 3.651198134729023)	(4, 0.7612338020533754)	(5, 0.16094262542147864)	(6, 0.03766621748229212)	(7, 0.01020976593006775)	(8, 0.004113368515665476)	(9, 0.002368303084777092)	(10, 0.0013257964637268887)	(11, 0.0011558225581208773)	(12, 0.0008951959028583265)	(13, 0.000668564028716978)	(14, 0.00044193215457562956)	(15, 0.0003626109986261576)	(16, 0.0003059530300908205)	(17, 0.0002266318741413485)	(18, 0.0003059530300908205)	(19, 0.0001359791244848091)	(20, 0.00019263709302014622)	(21, 0.00015864231189894394)	(22, 0.00015864231189894394)	(23, 7.932115594947197e-05)	(24, 0.00011331593707067425)	(25, 4.53263748282697e-05)	(26, 9.06527496565394e-05)	(27, 5.6657968535337126e-05)	(28, 3.399478112120227e-05)	(29, 4.53263748282697e-05)	(30, 4.53263748282697e-05)	(31, 0.0004872585294038992)
