Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10089428_2 - polya	(1, 0.018289550000642522)	(2, 0.02442544569687706)	(3, 0.028738654891597527)	(4, 0.036222277776120915)	(5, 0.04145165214356009)	(6, 0.047334396936806564)	(7, 0.053170127990926686)	(8, 0.06602175549928747)	(9, 0.08035612401086407)	(10, 0.10405755812519528)	(15, 0.15446086729451142)	(20, 0.1933166377500025)	(25, 0.22581132875364865)	(30, 0.2532796483044423)	(35, 0.27737527453914057)	(40, 0.30689556298072607)	(45, 0.33984809547463346)	(50, 0.3733409243243469)	(55, 0.4155725223452083)	(60, 0.4482147641608818)	(65, 0.49159108645544547)	(70, 0.5278246957481763)	(75, 0.567751656167454)	(80, 0.6168626902510406)	(85, 0.6797629745684362)	(90, 0.7247331831674323)	(95, 0.7752044814364081)	(100, 0.811912567850168)	(105, 0.8446035110776544)	(110, 0.8730222314470947)	(115, 0.8957513249978536)	(120, 0.9163761318045365)	(125, 0.9393918886159172)	(130, 0.9670019726723842)	(135, 0.9956186329383512)	(140, 1.009553746311501)
SRR10089428_2 - polyg	(1, 0.13310674479112483)	(2, 0.13517534931268446)	(3, 0.1354634591498947)	(4, 0.13563704834051507)	(5, 0.13586729511418516)	(6, 0.13605896651216184)	(7, 0.1363434599079008)	(8, 0.13690883025790748)	(9, 0.13784789955994417)	(10, 0.14039266887521945)	(15, 0.14451830530563065)	(20, 0.14733888855711388)	(25, 0.15008738407527003)	(30, 0.1526724164389253)	(35, 0.15551421614703986)	(40, 0.1585334625833442)	(45, 0.162333137089146)	(50, 0.1672023138860479)	(55, 0.17332784245006483)	(60, 0.1793352339260207)	(65, 0.18710744883995045)	(70, 0.19489654048074612)	(75, 0.20265597730147747)	(80, 0.21197458258851717)	(85, 0.22284054263305916)	(90, 0.23520539711938865)	(95, 0.2515408632450614)	(100, 0.273265791547301)	(105, 0.3048074296752216)	(110, 0.35218136637211395)	(115, 0.42742914625677697)	(120, 0.5508286388507508)	(125, 0.7511245264480853)	(130, 1.0902927309261223)	(135, 1.6276882184799342)	(140, 2.0643154219747086)
SRR10089431_1 - illumina_universal_adapter	(1, 0.0023843945473944698)	(2, 0.002393499151096867)	(3, 0.002442057037509652)	(4, 0.0025482774140376196)	(5, 0.0026433699415959904)	(6, 0.0026949626959095747)	(7, 0.0027485786954903582)	(8, 0.0027880319782007464)	(9, 0.0028224271477431356)	(10, 0.0030652165798070613)	(15, 0.0036908040164251093)	(20, 0.004794686634209092)	(25, 0.006501091692565049)	(30, 0.008779265863431552)	(35, 0.011883733401422281)	(40, 0.01530949228784427)	(45, 0.019466856662885564)	(50, 0.024698766599336435)	(55, 0.031954933425620294)	(60, 0.04276756078258722)	(65, 0.06030646703035849)	(70, 0.08959961898245127)	(75, 0.14071771995635052)	(80, 0.23019371865297594)	(85, 0.3859662043180303)	(90, 0.6497217177878362)	(95, 1.0900013343302537)	(100, 1.7738993065225686)	(105, 2.773623841679439)	(110, 4.136840777375343)	(115, 5.89728833541441)	(120, 8.036788668693486)	(125, 10.559986541372483)	(130, 13.373835533831747)	(135, 16.487041872780562)	(140, 18.430021358388665)
SRR10089431_1 - polya	(1, 0.0054445530140335326)	(2, 0.014130344946120473)	(3, 0.01985107093912672)	(4, 0.027752855330173902)	(5, 0.03152620775350075)	(6, 0.03579019715412344)	(7, 0.041330854318348945)	(8, 0.0486711881477483)	(9, 0.060944193938579735)	(10, 0.08444398539257383)	(15, 0.11751575020568819)	(20, 0.15597258462198038)	(25, 0.21015630682474012)	(30, 0.25483644135841094)	(35, 0.2867484819843666)	(40, 0.3156327360679584)	(45, 0.3479211003136131)	(50, 0.37759664562120665)	(55, 0.4180433417577894)	(60, 0.44754488797240377)	(65, 0.47945409605498523)	(70, 0.5160576378065229)	(75, 0.5514704997183136)	(80, 0.5824093593707464)	(85, 0.6175191391415107)	(90, 0.6530993234368989)	(95, 0.7002271800948275)	(100, 0.7366267787234314)	(105, 0.7706943848570612)	(110, 0.8039304371858723)	(115, 0.8321520784444563)	(120, 0.8600103448530512)	(125, 0.8858075313079501)	(130, 0.919959102120169)	(135, 0.9587441069188006)	(140, 0.9763888288940465)
SRR10089431_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004815323735934525)	(4, 0.0006838569003133906)	(5, 0.0009590182566525063)	(6, 0.0013555743290235849)	(7, 0.002005036059794586)	(8, 0.0026899045827415763)	(9, 0.0037207480463796604)	(10, 0.005446576259300733)	(15, 0.009523010823654043)	(20, 0.012881597967205016)	(25, 0.01625576409931342)	(30, 0.020430326059125904)	(35, 0.024707871203038835)	(40, 0.02902608357682247)	(45, 0.03340054216903425)	(50, 0.037923304639331745)	(55, 0.04255512002953129)	(60, 0.04742588068578708)	(65, 0.054682856810177816)	(70, 0.2382832602048192)	(75, 0.2657771401407915)	(80, 0.2737554032029389)	(85, 0.2837563045587054)	(90, 0.29457742954579463)	(95, 0.30555656998825204)	(100, 0.31905728100722003)	(105, 0.35400702207734885)	(110, 0.38361357472133084)	(115, 0.41367940404096715)	(120, 0.45225722852423783)	(125, 0.49140176400685115)	(130, 0.5300396788745578)	(135, 0.5618444875013517)	(140, 0.5844771160338242)
SRR10089431_2 - illumina_universal_adapter	(1, 0.002386417792661669)	(2, 0.0023955223963640663)	(3, 0.0024450919054104514)	(4, 0.0025401844329688223)	(5, 0.0026373002057943924)	(6, 0.0026899045827415763)	(7, 0.00274250895968876)	(8, 0.0027839854876663475)	(9, 0.002815345789307938)	(10, 0.003077356051410257)	(15, 0.0037391595783111747)	(20, 0.0049389440217604075)	(25, 0.00692111741003564)	(30, 0.009548908363074196)	(35, 0.01305276451681008)	(40, 0.01688661197362619)	(45, 0.021400067515694565)	(50, 0.027004254581310134)	(55, 0.03460700332186524)	(60, 0.04570591988414089)	(65, 0.06336642317247083)	(70, 0.09255679426498989)	(75, 0.14297849421791908)	(80, 0.2310610838990243)	(85, 0.3842913618858426)	(90, 0.6430164806478108)	(95, 1.0737874514079713)	(100, 1.7413222251772844)	(105, 2.7143532762258866)	(110, 4.037783498391368)	(115, 5.745220614158124)	(120, 7.822184054824282)	(125, 10.275129793712946)	(130, 12.997256782904467)	(135, 15.998670727859452)	(140, 17.88326765036177)
SRR10089431_2 - polya	(1, 0.015399931351288084)	(2, 0.022211186543314797)	(3, 0.02638514152954712)	(4, 0.03352213920959293)	(5, 0.039834664443255)	(6, 0.0463768280147442)	(7, 0.052589202607679894)	(8, 0.06573321548604066)	(9, 0.08125150668545991)	(10, 0.10762754361130464)	(15, 0.15529095329146095)	(20, 0.19609576384033803)	(25, 0.23124297364854546)	(30, 0.26010234181535075)	(35, 0.2851230067366986)	(40, 0.3127961462033448)	(45, 0.3441596850373628)	(50, 0.37800190164822667)	(55, 0.4227312010418903)	(60, 0.45459589772859366)	(65, 0.490744411619538)	(70, 0.5254297145332438)	(75, 0.5590485648666089)	(80, 0.5943914224921546)	(85, 0.6412791199368667)	(90, 0.6784083008088226)	(95, 0.721528310916956)	(100, 0.7527332273220255)	(105, 0.7799143135396889)	(110, 0.8064163986456799)	(115, 0.8301043519095238)	(120, 0.8517735110457558)	(125, 0.8750972801615035)	(130, 0.9031487664931162)	(135, 0.9336831794166356)	(140, 0.9477396759105033)
SRR10089431_2 - polyg	(1, 0.27699846304173276)	(2, 0.280060644753639)	(3, 0.28041167780749815)	(4, 0.2806413161453253)	(5, 0.2808345360683428)	(6, 0.2810601279156355)	(7, 0.28140306798842585)	(8, 0.28204241349286086)	(9, 0.2833979878218844)	(10, 0.2865194506201196)	(15, 0.2900131905475195)	(20, 0.29171878630776854)	(25, 0.2934001031248113)	(30, 0.2951542567714731)	(35, 0.29717042068023736)	(40, 0.2998601229384522)	(45, 0.30287111654509824)	(50, 0.30581858025035435)	(55, 0.3087221395333122)	(60, 0.31210338702385576)	(65, 0.31837726827291435)	(70, 0.3253072879621256)	(75, 0.33387775491398225)	(80, 0.3432977825535358)	(85, 0.35313763358603334)	(90, 0.3630175448748213)	(95, 0.37588032666104143)	(100, 0.3932492803063679)	(105, 0.41732448271435346)	(110, 0.4519925880432882)	(115, 0.5075065940092315)	(120, 0.5998487219513715)	(125, 0.7543587025696935)	(130, 1.0128914107067508)	(135, 1.4292006289460235)	(140, 1.7638035149637703)
SRR10089494_1 - polya	(1, 0.008216996816403565)	(2, 0.017777848426706353)	(3, 0.024542507937017843)	(4, 0.033361693392532754)	(5, 0.03745524778119777)	(6, 0.04240448565889417)	(7, 0.04831014078694388)	(8, 0.055920521106595567)	(9, 0.06881333559139313)	(10, 0.09337311217320901)	(15, 0.1274802353995241)	(20, 0.16809520239300024)	(25, 0.22739550723660823)	(30, 0.2770289132794229)	(35, 0.31257154795279607)	(40, 0.34428165044541315)	(45, 0.3804167324710884)	(50, 0.41363939113370873)	(55, 0.461100490218082)	(60, 0.4944391587508841)	(65, 0.5295983409525878)	(70, 0.5711772525544061)	(75, 0.6117078688598303)	(80, 0.6467014491857783)	(85, 0.684812905469302)	(90, 0.7235219011414141)	(95, 0.77736863512207)	(100, 0.818859653749724)	(105, 0.8577780870882332)	(110, 0.8950593200641583)	(115, 0.9258070276986073)	(120, 0.9564712702165327)	(125, 0.9848644645506326)	(130, 1.0217135386208427)	(135, 1.0653051329131613)	(140, 1.0847631319215647)
SRR10089494_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0004748877319462656)	(4, 0.0006508950731571193)	(5, 0.0007328104395068248)	(6, 0.0008180466990869238)	(7, 0.0009066038518974162)	(8, 0.0010405465455232859)	(9, 0.0011933076341213854)	(10, 0.0014669492363058071)	(15, 0.0019387374679037054)	(20, 0.0024419634887493285)	(25, 0.0029655576547413646)	(30, 0.0035982985115723337)	(35, 0.004250743334903636)	(40, 0.00504355124543957)	(45, 0.005839680049205897)	(50, 0.00671993814814219)	(55, 0.008100765553339795)	(60, 0.009475836743604716)	(65, 0.011687551635046764)	(70, 0.014164052413392183)	(75, 0.0162759191150404)	(80, 0.01835612663455887)	(85, 0.02061057035223198)	(90, 0.023516794714590315)	(95, 0.026244133628271455)	(100, 0.029044753585903277)	(105, 0.034920520674879454)	(110, 0.04163448121520693)	(115, 0.05165760116318049)	(120, 0.06924815121169266)	(125, 0.08817768541069945)	(130, 0.10449987563808334)	(135, 0.11083702549320218)	(140, 0.11358672508796797)
SRR10089494_2 - polya	(1, 0.01727528658450681)	(2, 0.023644759800401476)	(3, 0.026978936603716516)	(4, 0.03276946743311259)	(5, 0.037118730600517895)	(6, 0.04141375251182678)	(7, 0.04575858782159156)	(8, 0.05625482435845518)	(9, 0.07031659326035124)	(10, 0.09190527736537513)	(15, 0.1326513089450108)	(20, 0.16754459829540097)	(25, 0.19754953281065205)	(30, 0.2234808382966204)	(35, 0.2457372433338354)	(40, 0.2732028014922456)	(45, 0.30550269462258056)	(50, 0.3376334435910474)	(55, 0.38078180933354977)	(60, 0.4121325911786382)	(65, 0.44861813813656115)	(70, 0.4862792812980433)	(75, 0.5235381535928838)	(80, 0.5566392675632718)	(85, 0.6054608259076961)	(90, 0.6467364292611386)	(95, 0.6939466902101761)	(100, 0.7218599047760433)	(105, 0.7483774586136172)	(110, 0.7757945317308635)	(115, 0.8004231614989896)	(120, 0.8229881882137493)	(125, 0.8467075574153935)	(130, 0.8753449480983685)	(135, 0.9082678407987252)	(140, 0.9225109304710009)
SRR10089494_2 - polyg	(1, 0.01452669395415115)	(2, 0.014827788273706824)	(3, 0.014979442397894793)	(4, 0.015135524379723285)	(5, 0.015208584030791943)	(6, 0.01530267600565309)	(7, 0.015402302802564894)	(8, 0.015516320136808403)	(9, 0.015707824979761094)	(10, 0.016090613272784444)	(15, 0.016764975991436344)	(20, 0.0174760899285046)	(25, 0.01817303472112318)	(30, 0.01896185755978264)	(35, 0.019806471404712707)	(40, 0.02076576676253237)	(45, 0.022026599225671753)	(50, 0.023404105737638965)	(55, 0.024804858502218925)	(60, 0.026494307584961095)	(65, 0.028580935498058326)	(70, 0.0302172502891142)	(75, 0.0319762167368126)	(80, 0.03476908794357351)	(85, 0.03841387896037135)	(90, 0.0426765775109044)	(95, 0.046607408131280136)	(100, 0.05002350030094488)	(105, 0.05424501977542105)	(110, 0.05948782461468423)	(115, 0.0660406111368966)	(120, 0.07377519286336502)	(125, 0.08441599895219178)	(130, 0.10501904194643485)	(135, 0.1412670343419436)	(140, 0.1693954427891403)
SRR10089583_1 - illumina_universal_adapter	(1, 0.0032617542420286046)	(2, 0.003272532446876283)	(3, 0.0033089088882371966)	(4, 0.003389745424594783)	(5, 0.003484054717011967)	(6, 0.003541987568068237)	(7, 0.0035797112850351107)	(8, 0.0036336023092735014)	(9, 0.003695576987147651)	(10, 0.003960720826400534)	(15, 0.004634089174259228)	(20, 0.005748825010630341)	(25, 0.007458248299472098)	(30, 0.010058759674095648)	(35, 0.014063132230129278)	(40, 0.01804028981892252)	(45, 0.02264985857715328)	(50, 0.028540416981530592)	(55, 0.03698972121674669)	(60, 0.049689679988765875)	(65, 0.07021919621725967)	(70, 0.10513492136619189)	(75, 0.16614845282304963)	(80, 0.27247921601709146)	(85, 0.45760242901935727)	(90, 0.7672475899024549)	(95, 1.2777378617440054)	(100, 2.0605548380040526)	(105, 3.208249885889124)	(110, 4.759836065120998)	(115, 6.760984671466103)	(120, 9.141426390054638)	(125, 11.931253699366199)	(130, 15.004433547200312)	(135, 18.398531210912587)	(140, 20.473306542937546)
SRR10089583_1 - polya	(1, 0.005778465073961456)	(2, 0.012966180431756832)	(3, 0.018551985094066043)	(4, 0.026224719670006936)	(5, 0.030056371493356524)	(6, 0.03483111624087795)	(7, 0.04098547120890218)	(8, 0.048597578382574884)	(9, 0.060888773735745874)	(10, 0.08596238112802077)	(15, 0.11606806290855545)	(20, 0.1527635391329605)	(25, 0.21052340000142541)	(30, 0.2607654629886348)	(35, 0.29420080170173846)	(40, 0.3229371125563756)	(45, 0.3560439854767462)	(50, 0.3860367655615014)	(55, 0.42827196962249187)	(60, 0.4598359425189174)	(65, 0.49396809217542337)	(70, 0.5356810922115438)	(75, 0.575655837260855)	(80, 0.6098591230693557)	(85, 0.6480783680041012)	(90, 0.6880253591759298)	(95, 0.7480820554974349)	(100, 0.7964487108411482)	(105, 0.8419604891758328)	(110, 0.884682329185696)	(115, 0.9171549047507807)	(120, 0.9492098248780179)	(125, 0.9792042216935004)	(130, 1.0196095560264762)	(135, 1.0688578685267296)	(140, 1.0911558187156063)
SRR10089583_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007180978979765577)	(4, 0.0010144985312877074)	(5, 0.0012341044550591498)	(6, 0.0017137345707808282)	(7, 0.0023173140422508057)	(8, 0.0030637047279525186)	(9, 0.0041011069445415415)	(10, 0.005938521415949477)	(15, 0.010069268423822133)	(20, 0.013486767725899688)	(25, 0.01667765527105481)	(30, 0.020693075487057306)	(35, 0.02512210931408946)	(40, 0.029561382435726903)	(45, 0.034138616579414624)	(50, 0.038979647286749276)	(55, 0.04395917792637659)	(60, 0.049723092423793684)	(65, 0.05697008790825129)	(70, 0.18764773803271326)	(75, 0.21251224825094323)	(80, 0.22024264622281922)	(85, 0.22837695742136194)	(90, 0.23714017687276664)	(95, 0.24700681504545244)	(100, 0.2592869627386546)	(105, 0.289031574656792)	(110, 0.31504126914008773)	(115, 0.3394727649785622)	(120, 0.37163546715427626)	(125, 0.4059831809077359)	(130, 0.4388936210447575)	(135, 0.471952530953556)	(140, 0.4962824422113411)
SRR10089583_2 - illumina_universal_adapter	(1, 0.0032940888565716393)	(2, 0.003306214337025277)	(3, 0.0033412435027802313)	(4, 0.003419385487925898)	(5, 0.0035136947803430818)	(6, 0.0035729749070053116)	(7, 0.0036093513483662254)	(8, 0.003665936923816536)	(9, 0.0037265643260847255)	(10, 0.003994941626791912)	(15, 0.004727590101312835)	(20, 0.005961425101250794)	(25, 0.007876712102683203)	(30, 0.010772815745254325)	(35, 0.015174634605046089)	(40, 0.019431217154515384)	(45, 0.024193297511340795)	(50, 0.030209152547072366)	(55, 0.03866519316031826)	(60, 0.051192161744532214)	(65, 0.07125174824166723)	(70, 0.104883789193241)	(75, 0.1635517138201228)	(80, 0.26507485874185777)	(85, 0.44115623569740636)	(90, 0.7360444174133055)	(95, 1.217521109080512)	(100, 1.9502399113880666)	(105, 3.01453671307838)	(110, 4.437154934929754)	(115, 6.265691129549536)	(120, 8.452032737773296)	(125, 11.03564712065714)	(130, 13.876721560557957)	(135, 17.000916268666856)	(140, 18.9416832158143)
