Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR10089583_2 - polya	(1, 0.014258217737872253)	(2, 0.02073322430011491)	(3, 0.024568917950282376)	(4, 0.03091593332995886)	(5, 0.03645458334605947)	(6, 0.042150864608057385)	(7, 0.047913162374747326)	(8, 0.06009522840383557)	(9, 0.07499879115696255)	(10, 0.10249614736435908)	(15, 0.14954759226153452)	(20, 0.19183776516724818)	(25, 0.22752116795645624)	(30, 0.2569006681853786)	(35, 0.2829122488545227)	(40, 0.31134380596709177)	(45, 0.3432949858726701)	(50, 0.37841576636882934)	(55, 0.42447399968929134)	(60, 0.4611460333181527)	(65, 0.5073548920513609)	(70, 0.5503426842658404)	(75, 0.5929758735408315)	(80, 0.6487996993635321)	(85, 0.713666708508556)	(90, 0.7629047817142043)	(95, 0.8255948629351183)	(100, 0.8690030051386574)	(105, 0.9025361560607535)	(110, 0.9323290004455844)	(115, 0.9578938245237923)	(120, 0.9811569629567785)	(125, 1.0058269265775077)	(130, 1.034587218937931)	(135, 1.068004504157915)	(140, 1.0835410169907218)
SRR10089583_2 - polyg	(1, 0.23794369204416105)	(2, 0.24103838411105064)	(3, 0.2413037974054247)	(4, 0.24153822336086173)	(5, 0.24178208024554043)	(6, 0.2421256355250602)	(7, 0.2425904456091163)	(8, 0.24337860183860277)	(9, 0.24489024506848964)	(10, 0.24849582404515919)	(15, 0.2535014918315421)	(20, 0.256256939900851)	(25, 0.2586860778183965)	(30, 0.2610311457381301)	(35, 0.2635489343905477)	(40, 0.2665819212346843)	(45, 0.26996304409540095)	(50, 0.27307929257198593)	(55, 0.2764601459775814)	(60, 0.28064559237505604)	(65, 0.2881272832700718)	(70, 0.2958525615946451)	(75, 0.30477610684315903)	(80, 0.31457942306236475)	(85, 0.3249574870550728)	(90, 0.3364969026201182)	(95, 0.35204096019631853)	(100, 0.37287280507078974)	(105, 0.40132807423402356)	(110, 0.4444338877915853)	(115, 0.5165007377748582)	(120, 0.6399788165161924)	(125, 0.8485357330431589)	(130, 1.1920990962165363)	(135, 1.7285481355234773)	(140, 2.1515169589057903)
SRR10089589_1 - illumina_universal_adapter	(1, 0.00013916263207514723)	(2, 0.0001485796522907587)	(3, 0.00021135978706150182)	(4, 0.00042585858086154077)	(5, 0.00059222593800401)	(6, 0.0007167398719659839)	(7, 0.0008841535646879655)	(8, 0.0010201771900245757)	(9, 0.0011457374595660618)	(10, 0.001863523667111558)	(15, 0.00377978264743054)	(20, 0.006720404160092147)	(25, 0.01067597118488077)	(30, 0.015584331388373368)	(35, 0.02192889180830467)	(40, 0.02841073145626799)	(45, 0.035583152586709486)	(50, 0.04441317854221451)	(55, 0.05649898228693027)	(60, 0.07447000513217139)	(65, 0.10434163032455457)	(70, 0.15596845561904335)	(75, 0.25035399363742167)	(80, 0.4225567643068315)	(85, 0.7276623598133977)	(90, 1.2492198391127207)	(95, 2.1009514402667997)	(100, 3.386122742090218)	(105, 5.200592104563077)	(110, 7.575768638378294)	(115, 10.484810487647522)	(120, 13.844660161870417)	(125, 17.55863897397254)	(130, 21.453125112971545)	(135, 25.508692521765322)	(140, 27.92519617196454)
SRR10089589_1 - polya	(1, 0.009350054738522674)	(2, 0.016728813245244015)	(3, 0.021198758840920925)	(4, 0.027868101824732868)	(5, 0.03171966309291796)	(6, 0.036046260714201674)	(7, 0.041333394397477755)	(8, 0.05000856268721494)	(9, 0.06309298910901731)	(10, 0.08502711259521954)	(15, 0.11615747948975612)	(20, 0.15355204823171748)	(25, 0.20477456945828268)	(30, 0.24403768427813724)	(35, 0.27214100234114447)	(40, 0.29909439760226764)	(45, 0.32875257033643024)	(50, 0.35672425938353486)	(55, 0.39560839145649007)	(60, 0.4229231910267767)	(65, 0.45326608576417227)	(70, 0.4879203016233906)	(75, 0.5215011864451453)	(80, 0.5506493752178535)	(85, 0.587090941513995)	(90, 0.6234919099896514)	(95, 0.6723614317650093)	(100, 0.7060756197395935)	(105, 0.7370567791804917)	(110, 0.7670259228488854)	(115, 0.791794150885755)	(120, 0.8158655194266691)	(125, 0.8394821505247274)	(130, 0.870288571923847)	(135, 0.9019619869841504)	(140, 0.9154808519385663)
SRR10089589_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0006884888113191495)	(4, 0.0010421502371943357)	(5, 0.0015642716913710159)	(6, 0.0024107571751965356)	(7, 0.0035345215875928373)	(8, 0.005068449547157994)	(9, 0.007320163714268647)	(10, 0.01097689729754853)	(15, 0.01716429811343707)	(20, 0.022229190119624716)	(25, 0.02763602459319702)	(30, 0.03373092934385667)	(35, 0.0405258325972101)	(40, 0.047951885472125394)	(45, 0.055549328114964824)	(50, 0.06331711419014888)	(55, 0.07276698934295703)	(60, 0.08111946773997258)	(65, 0.09142545466393778)	(70, 0.12339016954957753)	(75, 0.13621615108324037)	(80, 0.1481462600937247)	(85, 0.16238291125568607)	(90, 0.17831211485106674)	(95, 0.19598514132326272)	(100, 0.21710082111917037)	(105, 0.2582996567611229)	(110, 0.2932642157532246)	(115, 0.3302094879973433)	(120, 0.37187080396544026)	(125, 0.41724514637099486)	(130, 0.46149760776819626)	(135, 0.5086787624524528)	(140, 0.5452245437723137)
SRR10089589_2 - illumina_universal_adapter	(1, 0.00014544064555222156)	(2, 0.00015276499460880824)	(3, 0.00021659146495906374)	(4, 0.00042899758760007794)	(5, 0.0005890869312654729)	(6, 0.0007177862075454963)	(7, 0.0008831072291084532)	(8, 0.001021223525604088)	(9, 0.0011499228018841115)	(10, 0.0018685460778932177)	(15, 0.003858467083009872)	(20, 0.006971315432059218)	(25, 0.01143728495253398)	(30, 0.016914851711281317)	(35, 0.023863357027707165)	(40, 0.03097299802337792)	(45, 0.03867925956648664)	(50, 0.048030779174820626)	(55, 0.060643098983147015)	(60, 0.07899415091086703)	(65, 0.10882580608411282)	(70, 0.1600366083521875)	(75, 0.25311652883445024)	(80, 0.4222282149348646)	(85, 0.7209848554120657)	(90, 1.229490972493899)	(95, 2.0579642078523444)	(100, 3.3068393840251744)	(105, 5.063229169684691)	(110, 7.352924899797412)	(115, 10.162585795724553)	(120, 13.42688808090158)	(125, 17.050621704873457)	(130, 20.824267594130156)	(135, 24.736359584857148)	(140, 27.08195223576435)
SRR10089589_2 - polya	(1, 0.016087409535002924)	(2, 0.022489936946039207)	(3, 0.02667527926408875)	(4, 0.03392324582337104)	(5, 0.04030170751607854)	(6, 0.046102591968895205)	(7, 0.05099211813195658)	(8, 0.06180913535295562)	(9, 0.07538847850386736)	(10, 0.0964453542402064)	(15, 0.13759877891800804)	(20, 0.17135272764461396)	(25, 0.20083888280950477)	(30, 0.22596286494340845)	(35, 0.24761133881640385)	(40, 0.2735018663958583)	(45, 0.3032996202963279)	(50, 0.3339409299410004)	(55, 0.3728595910880794)	(60, 0.40263411633868385)	(65, 0.439475382826199)	(70, 0.47420660898406963)	(75, 0.5129706217324967)	(80, 0.5570020970553051)	(85, 0.6103560038573371)	(90, 0.6497710466033368)	(95, 0.7015263619069897)	(100, 0.7395242477440979)	(105, 0.7673312435709871)	(110, 0.7914392338571843)	(115, 0.8121564690644136)	(120, 0.8321919120080328)	(125, 0.8531958431640485)	(130, 0.878062845279624)	(135, 0.9030482925828002)	(140, 0.9139762213752275)
SRR10089589_2 - polyg	(1, 0.12128808137033716)	(2, 0.12347596906709755)	(3, 0.12375115532450931)	(4, 0.12393844939324203)	(5, 0.12424084037572111)	(6, 0.12459764080833484)	(7, 0.1251103452422959)	(8, 0.12590974562504337)	(9, 0.1273484570468729)	(10, 0.13053099134551777)	(15, 0.1355176174503579)	(20, 0.13898412722528244)	(25, 0.14261784142581302)	(30, 0.14637209348510347)	(35, 0.15009014233334278)	(40, 0.15373118088292997)	(45, 0.15798683695192275)	(50, 0.16243627437024125)	(55, 0.16693405249233315)	(60, 0.1716419347987912)	(65, 0.17778078564379035)	(70, 0.18468785607126753)	(75, 0.19278272664860713)	(80, 0.2026911060523576)	(85, 0.21456178320192562)	(90, 0.22942498010889906)	(95, 0.2503546214387694)	(100, 0.2782823643915344)	(105, 0.31660042891597345)	(110, 0.3727392624964355)	(115, 0.46313030980646736)	(120, 0.6122000656826696)	(125, 0.8495602455594747)	(130, 1.2276793470715313)	(135, 1.8127732524984688)	(140, 2.280521878285788)
SRR10089616_1 - illumina_universal_adapter	(1, 0.0001536232384417413)	(2, 0.000163056244310971)	(3, 0.000281642603809859)	(4, 0.0007034327233911311)	(5, 0.001096923825364714)	(6, 0.0013300538275613917)	(7, 0.001660209032984432)	(8, 0.001928375914123963)	(9, 0.0021264690373777873)	(10, 0.0030023910109491193)	(15, 0.004811102507760567)	(20, 0.006988240262378789)	(25, 0.009660745582358273)	(30, 0.012910820375988025)	(35, 0.01691957835595725)	(40, 0.02110136461501349)	(45, 0.025745637676115395)	(50, 0.031306798907706435)	(55, 0.0383807447662685)	(60, 0.04825898851252588)	(65, 0.06403690364385292)	(70, 0.09065415106228517)	(75, 0.13872205382734576)	(80, 0.2268408824264354)	(85, 0.38869320567403925)	(90, 0.6754897343763919)	(95, 1.1698630609190392)	(100, 1.9613210913939276)	(105, 3.1522033150196913)	(110, 4.806639078897701)	(115, 6.963865644727153)	(120, 9.594264452136477)	(125, 12.670545545631539)	(130, 16.070065025617417)	(135, 19.78245655767273)	(140, 22.05991432971021)
SRR10089616_1 - polya	(1, 0.0072930611091816125)	(2, 0.016363570038579512)	(3, 0.022078624023065693)	(4, 0.029859506292913188)	(5, 0.03383753962519406)	(6, 0.038287223250936434)	(7, 0.04399149665728635)	(8, 0.05304313957494579)	(9, 0.0669015727691113)	(10, 0.09131392244422443)	(15, 0.12708738438823783)	(20, 0.17332555352912132)	(25, 0.23988619051467328)	(30, 0.2900571145596653)	(35, 0.3240887045913121)	(40, 0.35495700348332604)	(45, 0.38912254219831593)	(50, 0.4216995627249275)	(55, 0.4670577671754385)	(60, 0.49928549697043517)	(65, 0.5349527702198064)	(70, 0.5770978233568045)	(75, 0.6170533410743275)	(80, 0.6513679212820511)	(85, 0.6928351455687316)	(90, 0.7364423146154604)	(95, 0.7970798324584962)	(100, 0.8399194243419229)	(105, 0.8793857733265129)	(110, 0.9174431007486936)	(115, 0.9486234973777524)	(120, 0.9793225411930271)	(125, 1.0100183508348608)	(130, 1.0520820106069302)	(135, 1.097541822006375)	(140, 1.116543130000445)
SRR10089616_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00048243087159774895)	(4, 0.0007236463073966233)	(5, 0.0009230870029174804)	(6, 0.0011966441731251427)	(7, 0.0015995682809679553)	(8, 0.0021615059163206402)	(9, 0.002967354132006266)	(10, 0.004214936536825248)	(15, 0.006868575845066274)	(20, 0.00947343303724071)	(25, 0.011999592009020432)	(30, 0.014965598568759666)	(35, 0.018089001569288332)	(40, 0.02155900015689784)	(45, 0.025211460029463582)	(50, 0.0292401620789849)	(55, 0.03369388842152837)	(60, 0.03828776227984324)	(65, 0.045716389159088364)	(70, 0.07340360895754464)	(75, 0.08186366764997668)	(80, 0.08996284648929731)	(85, 0.10071620366576581)	(90, 0.1118759886379714)	(95, 0.125213450393702)	(100, 0.13955700960399933)	(105, 0.16856808439758864)	(110, 0.19285349276514727)	(115, 0.21950038677345424)	(120, 0.25181382216463416)	(125, 0.2870024377447553)	(130, 0.3169560045819074)	(135, 0.3451248467086012)	(140, 0.3664385887128991)
SRR10089616_2 - illumina_universal_adapter	(1, 0.00016170867204393818)	(2, 0.00016709896111206945)	(3, 0.00027625231474172774)	(4, 0.0006899570007208029)	(5, 0.0010794053858932875)	(6, 0.0013111878158229321)	(7, 0.0016292148708426772)	(8, 0.0018987293242492408)	(9, 0.0020941273029689996)	(10, 0.002961963842938135)	(15, 0.00480544270423903)	(20, 0.007144289130901188)	(25, 0.010210824581761072)	(30, 0.013841992812507703)	(35, 0.018257987131574248)	(40, 0.022863719625839017)	(45, 0.027881270204909003)	(50, 0.033828645648231646)	(55, 0.04117129741684007)	(60, 0.05116893606595655)	(65, 0.06672234565759592)	(70, 0.09253482291815614)	(75, 0.13894602033812664)	(80, 0.22340053042870062)	(85, 0.3782791671944097)	(90, 0.6515684400353856)	(95, 1.1201864263815948)	(100, 1.86626549979306)	(105, 2.982346682020366)	(110, 4.524719683744194)	(115, 6.539743686095006)	(120, 9.01565141852262)	(125, 11.93308743104119)	(130, 15.138489395475442)	(135, 18.623765679390754)	(140, 20.788435425879936)
SRR10089616_2 - polya	(1, 0.017186936693736565)	(2, 0.0243290697090105)	(3, 0.02946871033547367)	(4, 0.03809856313355184)	(5, 0.0449132360879368)	(6, 0.05206345453681293)	(7, 0.05837413546332762)	(8, 0.07254116270664364)	(9, 0.08843577759629573)	(10, 0.11485627946374118)	(15, 0.16898825743044948)	(20, 0.2129417525498055)	(25, 0.249498153980965)	(30, 0.2807356876741459)	(35, 0.3077801155012275)	(40, 0.3405034823760389)	(45, 0.3777875728313961)	(50, 0.4168685161476148)	(55, 0.46543906336827867)	(60, 0.501746702958944)	(65, 0.5479800208396661)	(70, 0.5907061471382087)	(75, 0.6347059987435506)	(80, 0.6881159474895827)	(85, 0.753699055552629)	(90, 0.8020674669332379)	(95, 0.8674934480699484)	(100, 0.920480798153039)	(105, 0.9593970681382263)	(110, 0.992342784437098)	(115, 1.0194448883572087)	(120, 1.0447638846535816)	(125, 1.0723228155722164)	(130, 1.1046855721083697)	(135, 1.1390459697731725)	(140, 1.1541592622623988)
SRR10089616_2 - polyg	(1, 0.1285476136967946)	(2, 0.13079671181047237)	(3, 0.1309786340665218)	(4, 0.1311228242990943)	(5, 0.13128857568793934)	(6, 0.13147184551625582)	(7, 0.13178448228220743)	(8, 0.13230329760501505)	(9, 0.13307949923082596)	(10, 0.13489602664678618)	(15, 0.1376388752391048)	(20, 0.13966158121192107)	(25, 0.14169560679178037)	(30, 0.14370618461419335)	(35, 0.14607925937643815)	(40, 0.14896468111460884)	(45, 0.15295753774182708)	(50, 0.15736221245385054)	(55, 0.1621867906842814)	(60, 0.16765685603062103)	(65, 0.17430604711061437)	(70, 0.18133875725780527)	(75, 0.1892411905461391)	(80, 0.19843378952293017)	(85, 0.20832604802076465)	(90, 0.2199642211477669)	(95, 0.23625259665384596)	(100, 0.25787035096158645)	(105, 0.2862992745358176)	(110, 0.3259354176260539)	(115, 0.38950336612097936)	(120, 0.491601639903814)	(125, 0.6504351317588111)	(130, 0.9003884956515797)	(135, 1.2899099192409373)	(140, 1.602148881859323)
SRR10089670_1 - illumina_universal_adapter	(1, 9.612354726383771e-05)	(2, 0.00010606736249802781)	(3, 0.00025743432772958833)	(4, 0.000697171934752662)	(5, 0.0011777896710718505)	(6, 0.0014827333382536805)	(7, 0.0018385009499658153)	(8, 0.0021511786956631266)	(9, 0.0024340249956578673)	(10, 0.003564305327277476)	(15, 0.005314637782166806)	(20, 0.007038232422759758)	(25, 0.008788343903977217)	(30, 0.010766942161909179)	(35, 0.013191244316004724)	(40, 0.01587961000798599)	(45, 0.01915775443019066)	(50, 0.02338586466776829)	(55, 0.029276138865158775)	(60, 0.03863967723701592)	(65, 0.05490179267101042)	(70, 0.08325978592954564)	(75, 0.13640108135676066)	(80, 0.2331645683743365)	(85, 0.4081631209967857)	(90, 0.7150011954675648)	(95, 1.2336425344265933)	(100, 2.0492192337251787)	(105, 3.232553797145285)	(110, 4.847217256452764)	(115, 6.909944389765736)	(120, 9.415160252316577)	(125, 12.30157735426455)	(130, 15.469794666844624)	(135, 18.913588024641214)	(140, 21.06126804415761)
SRR10089670_1 - polya	(1, 0.00852626912913834)	(2, 0.01679510393054709)	(3, 0.021704034051158942)	(4, 0.027714517926047184)	(5, 0.03094957248223703)	(6, 0.03439344715834487)	(7, 0.0388372276996685)	(8, 0.04539462141243719)	(9, 0.056789128802459704)	(10, 0.07663919374662186)	(15, 0.11035933412677612)	(20, 0.14930307113628638)	(25, 0.19554866215909839)	(30, 0.23062292920047747)	(35, 0.25801703530231185)	(40, 0.2854931226364103)	(45, 0.3155685232727261)	(50, 0.34448602186843846)	(55, 0.3838544702752846)	(60, 0.4108013256652523)	(65, 0.4399563709582258)	(70, 0.4725117591139486)	(75, 0.5044760426974169)	(80, 0.5327900621952497)	(85, 0.5674760784951516)	(90, 0.601457851702801)	(95, 0.6441559313973977)	(100, 0.6738779951323919)	(105, 0.7013379513884439)	(110, 0.729485577711358)	(115, 0.7539990710266835)	(120, 0.7782566768299825)	(125, 0.8024667732938291)	(130, 0.8338691208297295)	(135, 0.865124299900164)	(140, 0.879143753538341)
SRR10089670_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0007833516667823095)	(4, 0.0011369095417757356)	(5, 0.0016860291163749003)	(6, 0.0024052984183146513)	(7, 0.0033985750733743075)	(8, 0.004664754213194515)	(9, 0.006552974239331281)	(10, 0.010091204673327992)	(15, 0.019904203493770534)	(20, 0.026889623208953144)	(25, 0.034034585915226546)	(30, 0.042247072430308216)	(35, 0.05066086596046428)	(40, 0.058440686026022745)	(45, 0.06565216180752928)	(50, 0.07283027056458331)	(55, 0.08076919167388882)	(60, 0.08854879076577542)	(65, 0.09737249045725198)	(70, 0.11827107547444152)	(75, 0.12951730953063867)	(80, 0.140188128145284)	(85, 0.15357250345050388)	(90, 0.16591609276121186)	(95, 0.17800909792801828)	(100, 0.19188138310072905)	(105, 0.2222221731169618)	(110, 0.2500473988526163)	(115, 0.2801625747498689)	(120, 0.31268813145988905)	(125, 0.3492292217351472)	(130, 0.3841280356810608)	(135, 0.4158888025127358)	(140, 0.4394691240117505)
SRR10089670_2 - illumina_universal_adapter	(1, 9.833328398254662e-05)	(2, 0.00010164788906060999)	(3, 0.0002508051175734616)	(4, 0.0006805989093623451)	(5, 0.0011534825671660523)	(6, 0.00144295807731692)	(7, 0.0017998305573884094)	(8, 0.002113613171445075)	(9, 0.002384305919486917)	(10, 0.003514586251106526)	(15, 0.005264255784980243)	(20, 0.007007517082369704)	(25, 0.008992081629442178)	(30, 0.011332192814554918)	(35, 0.014085303792394348)	(40, 0.01703552328554262)	(45, 0.02054900466828979)	(50, 0.02503609604930011)	(55, 0.031246340123559636)	(60, 0.040886537532599146)	(65, 0.057315488088856156)	(70, 0.08559105816778353)	(75, 0.13827029764711654)	(80, 0.23402017843182055)	(85, 0.4068472227807945)	(90, 0.7092669286825153)	(95, 1.2194754703756066)	(100, 2.0212307084460113)	(105, 3.18407195256314)	(110, 4.76986696943006)	(115, 6.797621041643372)	(120, 9.264030170861263)	(125, 12.107050695337852)	(130, 15.218198463525862)	(135, 18.60251255903864)	(140, 20.720834900404956)
SRR10089670_2 - polya	(1, 0.014490348532933696)	(2, 0.020393660176964555)	(3, 0.024256279961267734)	(4, 0.030520883558807502)	(5, 0.035809888395037286)	(6, 0.04049673997541889)	(7, 0.04480572657690127)	(8, 0.05534617072514278)	(9, 0.06872281195184718)	(10, 0.08981209724786132)	(15, 0.1329057198151069)	(20, 0.1676761480576635)	(25, 0.1983954659738111)	(30, 0.2248508759175379)	(35, 0.24801355717671664)	(40, 0.2755298617190956)	(45, 0.30583507497415713)	(50, 0.33669515311928644)	(55, 0.3754459801132534)	(60, 0.40365150153819773)	(65, 0.437419593205148)	(70, 0.4689048058680001)	(75, 0.5015222876255186)	(80, 0.534370907843814)	(85, 0.5812164423857555)	(90, 0.6159614586560469)	(95, 0.652663417764427)	(100, 0.6772029859730333)	(105, 0.7007380078693145)	(110, 0.7249140743876931)	(115, 0.7463613370321379)	(120, 0.766233941290831)	(125, 0.7887330386133814)	(130, 0.8148284824456307)	(135, 0.8406651661081188)	(140, 0.852558411075554)
SRR10089670_2 - polyg	(1, 0.1072053769081629)	(2, 0.10976535689678718)	(3, 0.1100051133307671)	(4, 0.11023603081787217)	(5, 0.11051887711786691)	(6, 0.11090558104364097)	(7, 0.11148342719558335)	(8, 0.11229440057134953)	(9, 0.1135152801084362)	(10, 0.11576368721972252)	(15, 0.11911873047973827)	(20, 0.121640261049457)	(25, 0.12421084777433107)	(30, 0.12691799622842137)	(35, 0.1298425827756326)	(40, 0.13300339017807386)	(45, 0.13652946706011765)	(50, 0.14067979456519675)	(55, 0.146164803048376)	(60, 0.15042517544204678)	(65, 0.15557894439109157)	(70, 0.16126923741543892)	(75, 0.16783149254898874)	(80, 0.17488696091815448)	(85, 0.1826866686141813)	(90, 0.1914628589662056)	(95, 0.20267771476099705)	(100, 0.2177158570264987)	(105, 0.2391425691194597)	(110, 0.2730847880398442)	(115, 0.32878142300857427)	(120, 0.41937709289688974)	(125, 0.5715019978229674)	(130, 0.8292770669545805)	(135, 1.2567490883731165)	(140, 1.6030733902178491)
